Symbol,Date,Expiry,Strike Price,Put Price,Call Price,Close,Volatility
NIFTY,03-Jan-2014,28-Jun-2018,5900,278.25,1978.05,6211.15,0.348718695737484
NIFTY,24-Feb-2014,24-Dec-2014,6000,344,232,6186.1,0.210839780001641
NIFTY,10-Mar-2014,29-Dec-2016,7800,349.15,666.65,6537.25,
NIFTY,12-Mar-2014,31-Dec-2015,6400,560,1000,6516.9,
NIFTY,14-Feb-2014,25-Sep-2014,8300,1785.55,107.25,6048.35,
NIFTY,08-Jan-2014,29-Dec-2016,7300,527.8,2661.15,6174.6,
NIFTY,07-Mar-2014,24-Apr-2014,6100,28.4,407.05,6526.65,0.413766751986979
NIFTY,23-Jan-2014,27-Mar-2014,7700,1293.95,1602.55,6345.65,0.779443410799236
NIFTY,06-Feb-2014,29-Jun-2017,8100,333.5,1001.4,6036.3,
NIFTY,07-Jan-2014,30-Jan-2014,7500,1294.2,3,6162.25,
NIFTY,05-Feb-2014,28-Dec-2017,8600,904.85,1677.15,6022.4,
NIFTY,13-Jan-2014,29-Dec-2016,5100,371.85,1499,6272.75,0.146126488434117
NIFTY,13-Mar-2014,27-Mar-2014,8600,1887.45,0.05,6493.1,
NIFTY,10-Feb-2014,30-Jun-2016,3800,17.4,3176.3,6053.45,
NIFTY,09-Jan-2014,30-Jan-2014,7500,1307.2,1.85,6168.35,
NIFTY,13-Feb-2014,26-Jun-2014,4400,382.7,1526.95,6001.1,0.294226273774915
NIFTY,27-Jan-2014,24-Dec-2014,3300,19.5,357.6,6135.85,0.205088709933727
NIFTY,17-Feb-2014,27-Mar-2014,8100,1529.8,1,6073.3,
NIFTY,22-Jan-2014,27-Dec-2018,7300,300.05,1734.4,6338.95,
NIFTY,18-Feb-2014,28-Dec-2017,4600,2.5,3058.95,6127.1,
NIFTY,05-Feb-2014,26-Feb-2014,6750,435.55,102.35,6022.4,0.432388943736521
NIFTY,10-Jan-2014,26-Jun-2014,3000,19.65,3416.75,6171.45,0.324541414047417
NIFTY,24-Feb-2014,24-Dec-2014,8600,779.7,3381.7,6186.1,0.39552665738922
NIFTY,20-Feb-2014,24-Apr-2014,7150,934.35,1207.45,6091.45,
NIFTY,10-Mar-2014,28-Jun-2018,3800,42.75,3119.6,6537.25,0.332937434188673
NIFTY,18-Feb-2014,27-Mar-2014,7600,1321,0.15,6127.1,
NIFTY,15-Jan-2014,26-Feb-2014,5500,4.45,11.6,6320.9,0.17546693573496
NIFTY,07-Mar-2014,24-Dec-2014,6000,215.65,1050,6526.65,
NIFTY,03-Mar-2014,29-May-2014,6150,82.2,630,6221.45,0.325856336147418
NIFTY,26-Feb-2014,31-Dec-2015,4900,250.65,999,6238.8,0.215724894435772
NIFTY,10-Jan-2014,27-Dec-2018,5800,92.8,3626.3,6171.45,
NIFTY,03-Feb-2014,24-Dec-2014,4100,11.05,1405.15,6001.8,
NIFTY,14-Feb-2014,27-Dec-2018,4000,8.5,3565,6048.35,0.520390476701653
NIFTY,03-Mar-2014,27-Dec-2018,7900,427.25,1615.35,6221.45,1.22083682181701
NIFTY,24-Feb-2014,31-Dec-2015,3200,18.25,255.6,6186.1,0.319586975899624
NIFTY,23-Jan-2014,28-Dec-2017,4200,0.85,1187,6345.65,0.134307212088341
NIFTY,21-Mar-2014,31-Dec-2015,4700,306.55,3013.25,6493.2,
NIFTY,04-Feb-2014,27-Mar-2014,4900,4.6,5.05,6000.9,
NIFTY,12-Mar-2014,24-Dec-2014,8700,1758.7,39,6516.9,-0.044910579015925
NIFTY,04-Feb-2014,28-Dec-2017,5900,31.35,2555.5,6000.9,0.198093289279603
NIFTY,22-Mar-2014,26-Jun-2014,4400,382.7,1822,6494.9,0.128871837308002
NIFTY,22-Jan-2014,30-Jan-2014,7400,978.4,0.25,6338.95,0.309823685071802
NIFTY,20-Jan-2014,26-Jun-2014,6600,435.5,54.4,6303.95,
NIFTY,17-Jan-2014,25-Jun-2015,5600,419.35,945.65,6261.65,0.450495533716338
NIFTY,07-Jan-2014,30-Jan-2014,7000,793.05,0.3,6162.25,0.136368571872784
NIFTY,21-Jan-2014,31-Dec-2015,4800,339,1650.7,6313.8,
NIFTY,09-Jan-2014,28-Dec-2017,5600,19.45,1677.15,6168.35,
NIFTY,17-Feb-2014,30-Jun-2016,5900,597.7,1410,6073.3,2.06811469431056
NIFTY,21-Mar-2014,28-Dec-2017,4300,1.1,3122.55,6493.2,0.168365256261879
NIFTY,31-Jan-2014,25-Jun-2015,7500,419.6,190.75,6089.5,0.126188252868949
NIFTY,06-Jan-2014,29-Dec-2016,8800,1124.4,634.25,6191.45,1.56298370786688
NIFTY,27-Jan-2014,24-Dec-2014,8100,655.4,150,6135.85,0.22757488301491
NIFTY,20-Jan-2014,29-Jun-2017,6000,211.7,1620.25,6303.95,0.350648608168598
NIFTY,12-Mar-2014,28-Dec-2017,5100,7.7,2555.5,6516.9,0.057641730801304
NIFTY,05-Feb-2014,25-Jun-2015,4500,130.5,920,6022.4,
NIFTY,18-Mar-2014,29-May-2014,6300,179,69,6516.65,
NIFTY,13-Mar-2014,25-Sep-2014,8200,1710.7,227.15,6493.1,0.19573901193893
NIFTY,04-Mar-2014,27-Mar-2014,5150,1.55,1220.4,6297.95,0.427921008360701
NIFTY,14-Jan-2014,28-Jun-2018,4900,124.45,1440.95,6241.85,0.315102059264204
NIFTY,08-Jan-2014,26-Jun-2014,6500,462.9,65.6,6174.6,0.116779671610428
NIFTY,22-Mar-2014,27-Dec-2018,5500,68.55,2427,6494.9,0.225481928171445
NIFTY,11-Mar-2014,25-Jun-2015,6500,313.45,3502.15,6511.9,0.508477335005493
NIFTY,30-Jan-2014,30-Jun-2016,7300,850,719.8,6073.7,0.186859658335659
NIFTY,07-Mar-2014,24-Dec-2014,6100,265.65,201,6526.65,0.199358956152009
NIFTY,18-Mar-2014,27-Dec-2018,6000,111.85,3755.8,6516.65,0.178718574776003
NIFTY,30-Jan-2014,28-Dec-2017,4700,3.15,2309.85,6073.7,0.542130819090563
NIFTY,03-Feb-2014,25-Jun-2015,3800,6.45,2808.35,6001.8,0.133682483281515
NIFTY,14-Mar-2014,30-Jun-2016,6000,485,1491.6,6504.2,
NIFTY,14-Jan-2014,31-Dec-2015,3000,26.55,2882.65,6241.85,
NIFTY,18-Mar-2014,27-Mar-2014,7500,944.25,344.85,6516.65,-0.050243460221037
NIFTY,05-Feb-2014,28-Jun-2018,4400,74.5,2558.05,6022.4,0.323433016227356
NIFTY,28-Feb-2014,31-Dec-2015,7900,472.45,470,6276.95,
NIFTY,24-Feb-2014,29-Dec-2016,7200,607.1,1417,6186.1,
NIFTY,07-Feb-2014,27-Dec-2018,7900,427.25,1903.4,6063.2,
NIFTY,13-Jan-2014,29-Dec-2016,6500,760.65,2278.4,6272.75,
NIFTY,11-Mar-2014,29-Jun-2017,3500,7.8,2854.15,6511.9,
NIFTY,12-Mar-2014,28-Dec-2017,8400,344.85,972.9,6516.9,0.48844778919665
NIFTY,28-Jan-2014,27-Mar-2014,6400,265.65,20.4,6126.25,0.617590831364936
NIFTY,13-Jan-2014,26-Jun-2014,5400,103,1674.5,6272.75,0.48791532487281
NIFTY,10-Mar-2014,27-Dec-2018,6700,198.7,2584.05,6537.25,0.279247223867309
NIFTY,22-Mar-2014,29-Dec-2016,5700,412.75,1757.6,6494.9,
NIFTY,01-Jan-2014,27-Dec-2018,6700,198.7,1539.35,6301.65,
NIFTY,26-Feb-2014,27-Mar-2014,7100,680,14.05,6238.8,0.349396233509154
NIFTY,29-Jan-2014,27-Mar-2014,5150,1.55,29.55,6120.25,
NIFTY,29-Jan-2014,30-Jun-2016,3600,10.1,3212.75,6120.25,0.113830859509201
NIFTY,05-Feb-2014,24-Apr-2014,4800,0.1,1081.55,6022.4,0.994707769935622
NIFTY,06-Mar-2014,28-Dec-2017,6700,89.9,1786.05,6401.15,-8.39432375857877E-14
NIFTY,20-Mar-2014,29-Jun-2017,3700,11.7,2914.4,6483.1,
NIFTY,22-Jan-2014,30-Jun-2016,5300,514,3095.35,6338.95,0.235109143630625
NIFTY,01-Jan-2014,31-Dec-2015,8400,608.65,3496.7,6301.65,
NIFTY,16-Jan-2014,27-Mar-2014,3900,0.15,767.6,6318.9,0.130769407614432
NIFTY,05-Mar-2014,27-Mar-2014,6250,39.65,138.2,6328.65,0.151977439330336
